rank,spanish,pos,zipf,band,note
891,menudo,adj n,4.78,common,
892,presupuesto,adj n,4.78,common,
893,querido,adj n,4.78,common,
894,abogado,n,4.77,common,
895,abrir,n vblex,4.77,common,
896,acabo,n,4.77,common,
897,anda,ij n,4.77,common,
898,antiguo,adj,4.77,common,
899,basta,adv cnj ij n,4.77,common,
900,carga,n,4.77,common,check: commoner as a form of cargo
901,cita,n,4.77,common,
902,consumo,n,4.77,common,
903,contexto,n,4.77,common,
904,correo,n,4.77,common,
905,culo,adj n,4.77,common,
906,ejercicio,n,4.77,common,
907,elegir,vblex,4.77,common,
908,figura,n,4.77,common,
909,genial,adj adv,4.77,common,
910,jugador,n,4.77,common,
911,municipal,adj,4.77,common,
912,nueve,n num,4.77,common,
913,objeto,n,4.77,common,
914,publicación,n,4.77,common,
915,tratamiento,n,4.77,common,
916,villa,n,4.77,common,
917,calor,n,4.76,common,
918,conciencia,n,4.76,common,
919,cárcel,n,4.76,common,
920,dejo,n,4.76,common,check: commoner as a form of dejar
921,digital,adj n,4.76,common,
922,distrito,n,4.76,common,
923,familiar,adj n,4.76,common,
924,fundación,n,4.76,common,
925,ganado,adj n,4.76,common,check: commoner as a form of ganar
926,histórico,adj n,4.76,common,
927,intención,n,4.76,common,
928,junta,n,4.76,common,check: commoner as a form of junto
929,listo,adj ij,4.76,common,
930,máximo,adj n,4.76,common,
931,piedra,n,4.76,common,
932,propósito,n,4.76,common,
933,recordar,vblex,4.76,common,
934,rica,n,4.76,common,
935,secretario,n,4.76,common,
936,sede,n,4.76,common,
937,técnica,n,4.76,common,
938,aeropuerto,n,4.75,common,
939,autoridad,n,4.75,common,
940,cadena,n,4.75,common,
941,capitán,n,4.75,common,
942,continuación,n,4.75,common,
943,delante,adv pr,4.75,common,
944,fernando,n,4.75,common,
945,influencia,n,4.75,common,
946,judicial,adj,4.75,common,
947,lenguaje,n,4.75,common,
948,literatura,n,4.75,common,
949,mexicano,adj n,4.75,common,
950,online,adj,4.75,common,
951,querer,n vblex,4.75,common,
952,actitud,n,4.74,common,
953,basura,n,4.74,common,
954,búsqueda,n,4.74,common,
955,clara,n,4.74,common,check: commoner as a form of claro
956,coche,n,4.74,common,
957,corto,adj n,4.74,common,
958,cuánto,adv det,4.74,common,
959,documento,n,4.74,common,
960,espíritu,n,4.74,common,
961,existencia,n,4.74,common,
962,frontera,n,4.74,common,
963,idioma,n,4.74,common,
964,leche,ij n,4.74,common,
965,mirar,vblex,4.74,common,
966,obstante,adj,4.74,common,
967,planeta,n,4.74,common,
968,pobreza,n,4.74,common,
969,quedar,vblex,4.74,common,
970,sexual,adj,4.74,common,
971,super,adj,4.74,common,
972,tienda,n,4.74,common,
973,belleza,n,4.73,common,
974,blog,n,4.73,common,
975,construir,vblex,4.73,common,
976,cuándo,adv,4.73,common,
977,declaración,n,4.73,common,
978,estadounidense,adj n,4.73,common,
979,estatal,adj,4.73,common,
980,jajaja,ij,4.73,common,
981,jorge,n,4.73,common,
982,león,n,4.73,common,
983,mínimo,adj n,4.73,common,
984,pantalla,n,4.73,common,
985,papá,n,4.73,common,
986,perfil,n,4.73,common,
987,tarea,n,4.73,common,
988,tratado,n,4.73,common,
989,artista,n,4.72,common,
990,caer,vblex,4.72,common,
991,compañero,n,4.72,common,
992,crédito,n,4.72,common,
993,cuesta,n,4.72,common,
994,distribución,n,4.72,common,
995,gas,n,4.72,common,
996,grave,adj,4.72,common,
997,identidad,n,4.72,common,
998,inteligencia,n,4.72,common,
999,inversión,n,4.72,common,
1000,mirada,n,4.72,common,
1001,pedido,n,4.72,common,
1002,playa,n,4.72,common,
1003,promedio,n,4.72,common,
1004,pérdida,n,4.72,common,
1005,resistencia,n,4.72,common,
1006,terreno,adj n,4.72,common,
1007,valencia,n,4.72,common,
1008,voluntad,n,4.72,common,
1009,votar,vblex,4.72,common,
1010,aceptar,vblex,4.71,common,
1011,asesinato,n,4.71,common,
1012,aspecto,n,4.71,common,
1013,cocina,n,4.71,common,
1014,comité,n,4.71,common,
1015,conflicto,n,4.71,common,
1016,consecuencia,n,4.71,common,
1017,correcto,adj,4.71,common,
1018,dulce,adj n,4.71,common,
1019,física,n,4.71,common,
1020,inmediatamente,adv,4.71,common,
1021,jueves,n,4.71,common,
1022,medicina,n,4.71,common,
1023,mío,det prn,4.71,common,
1024,novela,n,4.71,common,
1025,oh,ij,4.71,common,
1026,permiso,n,4.71,common,
1027,presentación,n,4.71,common,
1028,privada,n,4.71,common,
1029,puente,n,4.71,common,
1030,reconocimiento,n,4.71,common,
1031,regreso,n,4.71,common,
1032,rosa,n,4.71,common,
1033,subir,vblex,4.71,common,
1034,tenia,n,4.71,common,
1035,tren,n,4.71,common,
1036,utilizar,vblex,4.71,common,
1037,abierta,n,4.7,common,
1038,bebé,n,4.7,common,
1039,categoría,n,4.7,common,
1040,claramente,adv,4.7,common,
1041,concurso,n,4.7,common,
1042,decreto,n,4.7,common,
1043,ejecutivo,adj n,4.7,common,
1044,estrategia,n,4.7,common,
1045,frío,adj n,4.7,common,
1046,generalmente,adv,4.7,common,
1047,jaja,ij,4.7,common,
1048,municipio,n,4.7,common,
1049,patria,n,4.7,common,
1050,penal,adj n,4.7,common,
1051,pensamiento,n,4.7,common,
1052,periodista,n,4.7,common,
1053,prisión,n,4.7,common,
1054,accidente,n,4.69,common,
1055,actualidad,n,4.69,common,
1056,aproximadamente,adv,4.69,common,
1057,avión,n,4.69,common,
1058,bandera,n,4.69,common,
1059,biblioteca,n,4.69,common,
1060,celular,adj n,4.69,common,
1061,costo,n,4.69,common,
1062,delito,n,4.69,common,
1063,deporte,n,4.69,common,
1064,disco,n,4.69,common,
1065,entrega,n,4.69,common,
1066,escritor,n,4.69,common,
1067,etapa,n,4.69,common,
1068,iniciativa,n,4.69,common,
1069,liga,n,4.69,common,
1070,llegue,n,4.69,common,check: commoner as a form of llegar
1071,madera,n,4.69,common,
1072,minuto,n,4.69,common,
1073,ocasión,n,4.69,common,
1074,precisamente,adv,4.69,common,
1075,regional,adj,4.69,common,
1076,resolución,n,4.69,common,
1077,ruta,n,4.69,common,
1078,secreto,adj n,4.69,common,
1079,tendencia,n,4.69,common,
1080,toca,n,4.69,common,
1081,tradicional,adj,4.69,common,
1082,acaso,adv,4.68,common,
1083,audiencia,n,4.68,common,
1084,comienzo,n,4.68,common,
1085,condición,n,4.68,common,
1086,crimen,n,4.68,common,
1087,disponible,adj,4.68,common,
1088,extranjero,adj n,4.68,common,
1089,formar,vblex,4.68,common,
1090,frase,n,4.68,common,
1091,global,adj n,4.68,common,
1092,impacto,n,4.68,common,
1093,inteligente,adj,4.68,common,
1094,intentar,vblex,4.68,common,
1095,laboral,adj,4.68,common,
1096,móvil,adj n,4.68,common,
1097,presentar,vblex,4.68,common,
1098,presidencia,n,4.68,common,
1099,publicidad,n,4.68,common,
1100,resolver,vblex,4.68,common,
1101,trato,n,4.68,common,
1102,alcanzar,vblex,4.67,common,
1103,animal,adj n,4.67,common,
1104,aparte,adj adv,4.67,common,
1105,ciudadano,adj n,4.67,common,
1106,colaboración,n,4.67,common,
1107,compromiso,n,4.67,common,
1108,conferencia,n,4.67,common,
1109,cuento,n,4.67,common,
1110,cáncer,n,4.67,common,
1111,deuda,n,4.67,common,
1112,división,n,4.67,common,
1113,enemigo,adj n,4.67,common,
1114,explicar,vblex,4.67,common,
1115,foro,n,4.67,common,
1116,frecuencia,n,4.67,common,
1117,habitación,n,4.67,common,
1118,humanidad,n,4.67,common,
1119,humor,n,4.67,common,
1120,institución,n,4.67,common,
1121,lima,n,4.67,common,
1122,lindo,adj,4.67,common,
1123,llegada,n,4.67,common,
1124,moral,adj n,4.67,common,
1125,museo,n,4.67,common,
1126,mía,n,4.67,common,
1127,palacio,n,4.67,common,
1128,plataforma,n,4.67,common,
1129,regalo,n,4.67,common,
1130,religión,n,4.67,common,
1131,rápidamente,adv,4.67,common,
1132,tuyo,det prn,4.67,common,
1133,técnico,adj n,4.67,common,
1134,as,n,4.66,common,
1135,bonito,adj n,4.66,common,
1136,breve,adj,4.66,common,
1137,capítulo,n,4.66,common,
1138,cumpleaños,n,4.66,common,
1139,defender,vblex,4.66,common,
1140,estrella,n,4.66,common,
1141,evidencia,n,4.66,common,
1142,firma,n,4.66,common,
1143,guardia,n,4.66,common,
1144,juventud,n,4.66,common,
1145,martes,n,4.66,common,
1146,metro,n,4.66,common,
1147,navidad,n,4.66,common,
1148,probable,adj,4.66,common,
1149,responder,vblex,4.66,common,
1150,sencillo,adj n,4.66,common,
1151,señal,n,4.66,common,
1152,superficie,n,4.66,common,
1153,temprano,adj adv,4.66,common,
1154,tradición,n,4.66,common,
1155,universo,n,4.66,common,
1156,valle,n,4.66,common,
1157,viento,n,4.66,common,
1158,vuelto,n,4.66,common,check: commoner as a form of volver
1159,arma,n,4.65,common,
1160,colección,n,4.65,common,
1161,conversación,n,4.65,common,
1162,directa,n,4.65,common,
1163,escenario,n,4.65,common,
1164,exposición,n,4.65,common,
1165,hermoso,adj,4.65,common,
1166,igualdad,n,4.65,common,
1167,invierno,n,4.65,common,
1168,luchar,vblex,4.65,common,
1169,moda,n,4.65,common,
1170,método,n,4.65,common,
1171,normalmente,adv,4.65,common,
1172,oferta,n,4.65,common,
1173,onda,n,4.65,common,
1174,salvador,n,4.65,common,
1175,seguramente,adv,4.65,common,
1176,sentencia,n,4.65,common,
1177,sesión,n,4.65,common,
1178,software,n,4.65,common,
1179,sonido,n,4.65,common,
1180,sorpresa,n,4.65,common,
1181,tarjeta,n,4.65,common,
1182,asimismo,adv,4.64,common,
1183,bolsa,n,4.64,common,
1184,cerebro,n,4.64,common,
1185,clima,n,4.64,common,
1186,comportamiento,n,4.64,common,
1187,corriente,adj n,4.64,common,
1188,corta,n,4.64,common,
1189,discusión,n,4.64,common,
1190,do,adv n prn,4.64,common,
1191,dominio,n,4.64,common,
1192,escala,n,4.64,common,
1193,espalda,n,4.64,common,
1194,gracia,n,4.64,common,
1195,intervención,n,4.64,common,
1196,montón,n,4.64,common,
1197,pasada,n,4.64,common,check: commoner as a form of pasado
1198,probar,vblex,4.64,common,
1199,sensación,n,4.64,common,
1200,show,n,4.64,common,
1201,terrible,adj,4.64,common,
1202,vergüenza,n,4.64,common,
1203,víctima,n,4.64,common,
1204,acabar,vblex,4.63,common,
1205,agencia,n,4.63,common,
1206,apoyar,vblex,4.63,common,
1207,asistencia,n,4.63,common,
1208,ayuntamiento,n,4.63,common,
1209,bajar,vblex,4.63,common,
1210,comandante,n,4.63,common,
1211,constante,adj n,4.63,common,
1212,examen,n,4.63,common,
1213,fundamental,adj,4.63,common,
1214,igualmente,adv ij,4.63,common,
1215,impuesto,n,4.63,common,
1216,industrial,adj,4.63,common,
1217,mapa,n,4.63,common,
1218,masa,n,4.63,common,
1219,mentira,n,4.63,common,
1220,miércoles,ij n,4.63,common,
1221,novio,n,4.63,common,
1222,nuevamente,adv,4.63,common,
1223,periódico,adj n,4.63,common,
1224,placer,n vblex,4.63,common,
1225,representación,n,4.63,common,
1226,resumen,n,4.63,common,
1227,seguido,adj adv,4.63,common,check: commoner as a form of seguir
1228,titular,adj n vblex,4.63,common,
1229,turismo,n,4.63,common,
1230,vender,vblex,4.63,common,
1231,viajar,vblex,4.63,common,
1232,vuelo,n,4.63,common,
1233,actuar,vblex,4.62,common,
1234,alcance,n,4.62,common,
1235,anual,adj,4.62,common,
1236,archivo,n,4.62,common,
1237,aumentar,vblex,4.62,common,
1238,beneficio,n,4.62,common,
1239,carajo,ij n,4.62,common,
1240,cerrar,vblex,4.62,common,
1241,continuar,vblex,4.62,common,
1242,cuello,n,4.62,common,
1243,definitivamente,adv,4.62,common,
1244,dictadura,n,4.62,common,
1245,década,n,4.62,common,
1246,establecer,vblex,4.62,common,
1247,famoso,adj n,4.62,common,
1248,gato,n,4.62,common,
1249,gay,adj n,4.62,common,
1250,lectura,n,4.62,common,
1251,martín,n,4.62,common,
1252,porqué,n,4.62,common,
1253,príncipe,adj n,4.62,common,
1254,tiro,n,4.62,common,
1255,torno,n,4.62,common,
1256,abuela,n,4.61,common,
1257,carretera,n,4.61,common,
1258,caída,n,4.61,common,
1259,cola,n,4.61,common,
1260,cristo,n,4.61,common,
1261,disposición,n,4.61,common,
1262,dueño,n,4.61,common,
1263,editorial,adj n,4.61,common,
1264,labor,n,4.61,common,
1265,letra,n,4.61,common,
1266,lluvia,n,4.61,common,
1267,marido,n,4.61,common,
1268,mostrar,vblex,4.61,common,
1269,oeste,n,4.61,common,
1270,sentimiento,n,4.61,common,
1271,suma,n,4.61,common,
1272,tasa,n,4.61,common,
1273,tocar,vblex,4.61,common,
1274,tranquilo,adj ij,4.61,common,
1275,universal,adj,4.61,common,
1276,vivienda,n,4.61,common,
1277,absolutamente,adv,4.6,common,
1278,alegría,n,4.6,common,
1279,amistad,n,4.6,common,
1280,anteriormente,adv,4.6,common,
1281,castro,n,4.6,common,
1282,cero,n num,4.6,common,
1283,cliente,n,4.6,common,
1284,concierto,n,4.6,common,
1285,correr,n vblex,4.6,common,
1286,córdoba,n,4.6,common,
1287,descripción,n,4.6,common,
1288,elegido,n,4.6,common,
1289,evolución,n,4.6,common,
1290,infantil,adj,4.6,common,
1291,ingreso,n,4.6,common,
1292,moneda,n,4.6,common,
1293,motor,adj n,4.6,common,
1294,occidental,adj n,4.6,common,
1295,panamá,n,4.6,common,
1296,permanente,adj n,4.6,common,
1297,prácticamente,adv,4.6,common,
1298,punta,n,4.6,common,
1299,salga,n,4.6,common,check: commoner as a form of salir
1300,sub,pr,4.6,common,
1301,traducción,n,4.6,common,
1302,tráfico,n,4.6,common,
1303,ángel,n,4.6,common,
1304,adentro,adv ij n,4.59,common,
1305,caliente,adj,4.59,common,
1306,cariño,n,4.59,common,
1307,chino,adj n,4.59,common,
1308,constitucional,adj,4.59,common,
1309,controlar,vblex,4.59,common,
1310,coronel,n,4.59,common,
1311,diputado,n,4.59,common,
1312,disfrutar,vblex,4.59,common,
1313,entero,adj n,4.59,common,
1314,filosofía,n,4.59,common,
1315,licencia,n,4.59,common,
1316,millón,n,4.59,common,
1317,parlamento,n,4.59,common,
1318,pecho,n,4.59,common,
1319,pelea,n,4.59,common,
1320,perfectamente,adv,4.59,common,
1321,proteger,vblex,4.59,common,
1322,reducir,vblex,4.59,common,
1323,secundaria,n,4.59,common,
1324,toque,n,4.59,common,
1325,tío,n,4.59,common,
1326,volumen,n,4.59,common,
1327,ámbito,n,4.59,common,
1328,alianza,n,4.58,common,
1329,amenaza,n,4.58,common,
1330,campeón,n,4.58,common,
1331,castillo,n,4.58,common,
1332,colectivo,adj n,4.58,common,
1333,complejo,adj n,4.58,common,
1334,conexión,n,4.58,common,
1335,escucha,n,4.58,common,check: commoner as a form of escuchar
1336,fotografía,n,4.58,common,
1337,loca,n,4.58,common,check: commoner as a form of loco
1338,límite,n,4.58,common,
1339,mezcla,n,4.58,common,
1340,parar,vblex,4.58,common,
1341,poesía,n,4.58,common,
1342,raza,n,4.58,common,
1343,reacción,n,4.58,common,
1344,representante,n,4.58,common,
1345,salón,n,4.58,common,
1346,árbol,n,4.58,common,
1347,útil,adj,4.58,common,
1348,bosque,n,4.57,common,
1349,denuncia,n,4.57,common,
1350,desarrollar,vblex,4.57,common,
1351,estudiante,adj n,4.57,common,
1352,europeo,adj n,4.57,common,
1353,fase,n,4.57,common,
1354,ideal,adj n,4.57,common,
1355,ilegal,adj n,4.57,common,
1356,imperio,n,4.57,common,
1357,jornada,n,4.57,common,
1358,nacimiento,n,4.57,common,
1359,patrimonio,n,4.57,common,
1360,primavera,n,4.57,common,
1361,recientemente,adv,4.57,common,
1362,reconocer,vblex,4.57,common,
1363,romper,vblex,4.57,common,
1364,rostro,n,4.57,common,
1365,ruido,n,4.57,common,
1366,sal,n,4.57,common,check: commoner as a form of salir
1367,significado,adj n,4.57,common,
1368,tomo,n,4.57,common,check: commoner as a form of tomar
1369,vestido,adj n,4.57,common,
1370,virgen,adj n,4.57,common,
1371,vosotros,prn,4.57,common,
1372,actuación,n,4.56,common,
1373,alcohol,n,4.56,common,
1374,ama,n,4.56,common,
1375,apertura,n,4.56,common,
1376,caballo,n,4.56,common,
1377,cierre,n,4.56,common,
1378,comenzar,vblex,4.56,common,
1379,definición,n,4.56,common,
1380,desastre,n,4.56,common,
1381,efectivo,adj n,4.56,common,
1382,emergencia,n,4.56,common,
1383,enlace,n,4.56,common,
1384,felicidad,n,4.56,common,
1385,firme,adj,4.56,common,
1386,fácilmente,adv,4.56,common,
1387,guía,n,4.56,common,
1388,haz,n,4.56,common,check: commoner as a form of hacer
1389,herramienta,n,4.56,common,
1390,inmediato,adj,4.56,common,
1391,jardín,n,4.56,common,
1392,maduro,adj,4.56,common,
1393,máquina,n,4.56,common,
1394,personalidad,n,4.56,common,
1395,perspectiva,n,4.56,common,
1396,peña,n,4.56,common,
1397,recuperar,vblex,4.56,common,
1398,rock,n,4.56,common,
1399,agricultura,n,4.55,common,
1400,alemán,adj n,4.55,common,
1401,alternativa,n,4.55,common,
1402,amplio,adj,4.55,common,
1403,arena,n,4.55,common,
1404,argumento,n,4.55,common,
1405,caminar,vblex,4.55,common,
1406,co,n,4.55,common,
1407,combate,n,4.55,common,
1408,consulta,n,4.55,common,
1409,demostrar,vblex,4.55,common,
1410,dignidad,n,4.55,common,
1411,enviar,vblex,4.55,common,
1412,extremo,adj n,4.55,common,
1413,generar,vblex,4.55,common,
1414,gol,ij n,4.55,common,
1415,inferior,adj,4.55,common,
1416,mental,adj,4.55,common,
1417,montaña,n,4.55,common,
1418,musical,adj n,4.55,common,
1419,orgullo,n,4.55,common,
1420,oriente,n,4.55,common,
1421,paciente,adj n,4.55,common,
1422,paga,n,4.55,common,check: commoner as a form of pagar
1423,pasión,n,4.55,common,
1424,permitir,vblex,4.55,common,
1425,pieza,n,4.55,common,
1426,pintura,n,4.55,common,
1427,pista,n,4.55,common,
1428,positivo,adj,4.55,common,
1429,promoción,n,4.55,common,
1430,quedo,adj adv,4.55,common,
1431,reciente,adj n,4.55,common,
1432,regresar,vblex,4.55,common,
1433,reserva,n,4.55,common,
1434,ritmo,n,4.55,common,
1435,robo,n,4.55,common,
1436,suyo,det prn,4.55,common,
1437,temperatura,n,4.55,common,
1438,tono,n,4.55,common,
1439,variedad,n,4.55,common,
1440,únicamente,adv,4.55,common,
1441,academia,n,4.54,common,
1442,activo,adj n,4.54,common,
1443,agente,n,4.54,common,
1444,ausencia,n,4.54,common,
1445,cabello,n,4.54,common,
1446,cercano,adj,4.54,common,
1447,considerar,vblex,4.54,common,
1448,diálogo,n,4.54,common,
1449,estadio,n,4.54,common,
1450,et,n,4.54,common,
1451,inicial,adj n,4.54,common,
1452,joder,adv ij vblex,4.54,common,
1453,locura,n,4.54,common,
1454,obvio,adj,4.54,common,
1455,ofrecer,vblex,4.54,common,
1456,plano,adj n,4.54,common,
1457,pongo,n,4.54,common,check: commoner as a form of poner
1458,producir,vblex,4.54,common,
1459,risa,n,4.54,common,
1460,rural,adj n,4.54,common,
1461,ruso,adj n,4.54,common,
1462,servir,vblex,4.54,common,
1463,socialista,adj n,4.54,common,
1464,triunfo,n,4.54,common,
1465,ventana,n,4.54,common,
1466,ánimo,ij n,4.54,common,
1467,absoluto,adj,4.53,common,
1468,acceder,vblex,4.53,common,
1469,actor,n,4.53,common,
1470,andar,n vblex,4.53,common,
1471,anti,adj,4.53,common,
1472,asegurar,vblex,4.53,common,
1473,bar,n,4.53,common,
1474,brazo,n,4.53,common,
1475,caballero,n,4.53,common,
1476,detalle,n,4.53,common,
1477,electrónico,adj,4.53,common,
1478,eliminar,vblex,4.53,common,
1479,explicación,n,4.53,common,
1480,ganador,adj n,4.53,common,
1481,marina,n,4.53,common,
1482,mina,n,4.53,common,
1483,máxima,n,4.53,common,
1484,nacido,adj n,4.53,common,
1485,obviamente,adv,4.53,common,
1486,olvidar,vblex,4.53,common,
1487,parecido,adj n,4.53,common,
1488,piernas,n,4.53,common,
1489,poeta,n,4.53,common,
1490,primaria,n,4.53,common,
1491,procedimiento,n,4.53,common,
1492,puro,adj adv n,4.53,common,
1493,senado,n,4.53,common,
1494,americano,adj n,4.52,common,
1495,barco,n,4.52,common,
1496,bomba,n,4.52,common,
1497,cerveza,n,4.52,common,
1498,clásico,adj n,4.52,common,
1499,cuadro,n,4.52,common,
1500,demuestra,n,4.52,useful,
1501,entendido,adj ij n,4.52,useful,check: commoner as a form of entender
1502,federación,n,4.52,useful,
1503,gloria,n,4.52,useful,
1504,granada,n,4.52,useful,
1505,impresión,n,4.52,useful,
1506,man,n,4.52,useful,
1507,oriental,adj n,4.52,useful,
1508,preguntar,vblex,4.52,useful,
1509,saca,n,4.52,useful,check: commoner as a form of sacar
1510,salvar,vblex,4.52,useful,
1511,talento,n,4.52,useful,
1512,torre,n,4.52,useful,
1513,traer,vblex,4.52,useful,
1514,visitar,vblex,4.52,useful,
1515,aniversario,adj n,4.51,useful,
1516,anoche,adv,4.51,useful,
1517,aviso,n,4.51,useful,
1518,cien,num,4.51,useful,
1519,comparación,n,4.51,useful,
1520,comunista,adj n,4.51,useful,
1521,echar,vblex,4.51,useful,
1522,ejecución,n,4.51,useful,
1523,entorno,n,4.51,useful,
1524,extensión,n,4.51,useful,
1525,físico,adj n,4.51,useful,
1526,homenaje,n,4.51,useful,
1527,leo,adj n,4.51,useful,check: commoner as a form of leer
1528,llorar,vblex,4.51,useful,
1529,mata,n,4.51,useful,
1530,meta,n,4.51,useful,
1531,petróleo,n,4.51,useful,
1532,posteriormente,adv,4.51,useful,
1533,potencial,adj n,4.51,useful,
1534,profundo,adj,4.51,useful,
1535,regla,n,4.51,useful,
1536,regular,adj vblex,4.51,useful,
1537,renta,n,4.51,useful,
1538,taller,n,4.51,useful,
1539,ventaja,n,4.51,useful,
1540,abrazo,n,4.5,useful,
1541,baile,n,4.5,useful,
1542,ciudadanía,n,4.5,useful,
1543,corea,n,4.5,useful,
1544,descubrir,vblex,4.5,useful,
1545,enseñanza,n,4.5,useful,
1546,entidad,n,4.5,useful,
1547,entrenamiento,n,4.5,useful,
1548,enviado,n,4.5,useful,
1549,espectáculo,n,4.5,useful,
1550,esposo,n,4.5,useful,
1551,fenómeno,n,4.5,useful,
1552,funcionamiento,n,4.5,useful,
1553,horrible,adj,4.5,useful,
1554,huevo,n,4.5,useful,
1555,intelectual,adj,4.5,useful,
1556,lanzamiento,n,4.5,useful,
1557,pared,n,4.5,useful,
1558,paro,n,4.5,useful,
1559,particularmente,adv,4.5,useful,
1560,provincial,adj,4.5,useful,
1561,residencia,n,4.5,useful,
1562,sonrisa,n,4.5,useful,
1563,vecino,adj n,4.5,useful,
1564,abuelo,n,4.49,useful,
1565,basado,adj ij,4.49,useful,
1566,colonia,n,4.49,useful,
1567,cooperación,n,4.49,useful,
1568,discutir,vblex,4.49,useful,
1569,elemento,n,4.49,useful,
1570,encuesta,n,4.49,useful,
1571,exacto,adj adv n,4.49,useful,
1572,extra,adj n,4.49,useful,
1573,franco,adj n,4.49,useful,
1574,individual,adj n,4.49,useful,
1575,infancia,n,4.49,useful,
1576,infraestructura,n,4.49,useful,
1577,ingeniería,n,4.49,useful,
1578,interpretación,n,4.49,useful,
1579,legislación,n,4.49,useful,
1580,liberal,adj n,4.49,useful,
1581,lógica,n,4.49,useful,
1582,manejo,n,4.49,useful,
1583,moreno,adj n,4.49,useful,
1584,oscuro,adj,4.49,useful,
1585,oído,n,4.49,useful,
1586,partida,n,4.49,useful,check: commoner as a form of partido
1587,personalmente,adv,4.49,useful,
1588,princesa,n,4.49,useful,
1589,progreso,n,4.49,useful,
1590,puesta,n,4.49,useful,check: commoner as a form of puesto
1591,rol,n,4.49,useful,
1592,sujeto,adj n,4.49,useful,
1593,torneo,n,4.49,useful,
1594,turno,n,4.49,useful,
1595,vacío,adj n,4.49,useful,
1596,venezolano,adj n,4.49,useful,
1597,aprobación,n,4.48,useful,
1598,celebración,n,4.48,useful,
1599,celebrar,vblex,4.48,useful,
1600,cerrado,adj n,4.48,useful,
1601,ciclo,n,4.48,useful,
1602,científico,adj n,4.48,useful,
1603,conde,n,4.48,useful,
1604,crecer,vblex,4.48,useful,
1605,criminal,adj n,4.48,useful,
1606,círculo,n,4.48,useful,
1607,decidir,vblex,4.48,useful,
1608,evidente,adj,4.48,useful,
1609,excepción,n,4.48,useful,
1610,falso,adj,4.48,useful,
1611,formato,n,4.48,useful,
1612,hierro,n,4.48,useful,
1613,ja,ij,4.48,useful,
1614,juro,n,4.48,useful,
1615,lago,n,4.48,useful,
1616,monte,n,4.48,useful,
1617,norma,n,4.48,useful,
1618,olor,n,4.48,useful,
1619,pleno,adj n,4.48,useful,
1620,porcentaje,n,4.48,useful,
1621,posterior,adj,4.48,useful,
1622,potencia,n,4.48,useful,
1623,preparado,adj n,4.48,useful,
1624,riqueza,n,4.48,useful,
1625,salario,n,4.48,useful,
1626,saludo,n,4.48,useful,
1627,sierra,n,4.48,useful,
1628,tabla,n,4.48,useful,
1629,vs,pr,4.48,useful,
1630,bienestar,n,4.47,useful,
1631,cantante,adj n,4.47,useful,
1632,concentración,n,4.47,useful,
1633,copia,n,4.47,useful,
1634,corona,n,4.47,useful,
1635,crítico,adj n,4.47,useful,
1636,dedo,n,4.47,useful,
1637,determinar,vblex,4.47,useful,
1638,doce,num,4.47,useful,
1639,flor,n,4.47,useful,
1640,fracaso,n,4.47,useful,
1641,fábrica,n,4.47,useful,
1642,gasto,n,4.47,useful,
1643,margen,n,4.47,useful,
1644,paseo,n,4.47,useful,
1645,peligroso,adj,4.47,useful,
1646,secretaría,n,4.47,useful,
1647,suficientemente,adv,4.47,useful,
1648,superar,vblex,4.47,useful,
1649,techo,n,4.47,useful,
1650,transmisión,n,4.47,useful,
1651,tuya,n,4.47,useful,
1652,ubicación,n,4.47,useful,
1653,veinte,num,4.47,useful,
1654,aceite,n,4.46,useful,
1655,anuncio,n,4.46,useful,
1656,aplicar,vblex,4.46,useful,
1657,audio,n,4.46,useful,
1658,azúcar,n,4.46,useful,
1659,broma,n,4.46,useful,
1660,castellano,adj n,4.46,useful,
1661,columna,n,4.46,useful,
1662,correspondiente,adj,4.46,useful,
1663,cura,n,4.46,useful,
1664,descanso,n,4.46,useful,
1665,distinto,adj adv,4.46,useful,
1666,esquina,n,4.46,useful,
1667,gira,n,4.46,useful,
1668,intercambio,n,4.46,useful,
1669,introducción,n,4.46,useful,
1670,organismo,n,4.46,useful,
1671,pedo,adj n,4.46,useful,
1672,promover,vblex,4.46,useful,
1673,raíz,n,4.46,useful,
1674,repente,n,4.46,useful,
1675,rosario,n,4.46,useful,
1676,solicitud,n,4.46,useful,
1677,súper,adj,4.46,useful,
1678,índice,n,4.46,useful,
1679,am,adv,4.45,useful,
1680,aparentemente,adv,4.45,useful,
1681,culpable,adj n,4.45,useful,
1682,difusión,n,4.45,useful,
1683,documental,n,4.45,useful,
1684,drama,n,4.45,useful,
1685,feria,n,4.45,useful,
1686,magia,n,4.45,useful,
1687,mantenimiento,n,4.45,useful,
1688,moderno,adj,4.45,useful,
1689,muro,n,4.45,useful,
1690,posiblemente,adv,4.45,useful,
1691,puto,adj adv n,4.45,useful,
1692,queso,n,4.45,useful,
1693,recorrido,n,4.45,useful,
1694,relativamente,adv,4.45,useful,
1695,restaurante,n,4.45,useful,
1696,sabor,n,4.45,useful,
1697,supremo,adj,4.45,useful,
1698,temporal,adj n,4.45,useful,
1699,trabajador,adj n,4.45,useful,
1700,vehículo,n,4.45,useful,
1701,virus,n,4.45,useful,
1702,avance,n,4.44,useful,
1703,bailar,vblex,4.44,useful,
1704,beso,n,4.44,useful,
1705,conclusión,n,4.44,useful,
1706,considerando,n,4.44,useful,
